Language,Ethnologue Code,iso_6393,glottocode,name,level,macroarea,latitude,longitude,id,family_id,parent_id,bookkeeping,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
Abaza,ABQ,abq,abaz1241,Abaza,language,Eurasia,44.25,42,abaz1241,abkh1242,abkh1243,FALSE,abq,NA,NA,0,0,3,RU TR
Abkhaz,ABK,abk,abkh1244,Abkhaz,language,Eurasia,43.056218,41.159115,abkh1244,abkh1242,abkh1243,FALSE,abk,NA,NA,0,0,3,GE RU TR
Aceh,ACE,ace,achi1257,Acehnese,language,Papunesia,3.90757,96.6032,achi1257,aust1307,cham1327,FALSE,ace,NA,NA,0,0,7,ID
Adyghe,ADY,ady,adyg1241,Adyghe,language,Eurasia,44,39.33,adyg1241,abkh1242,circ1239,FALSE,ady,NA,NA,0,0,5,IL JO RU SY TR
Afrikaans,AFR,afr,afri1274,Afrikaans,language,Africa,-22,30,afri1274,indo1319,afri1273,FALSE,afr,NA,NA,0,0,3,BW MZ NA ZA ZM ZW
Aghul,AGX,agx,aghu1253,Aghul,language,Eurasia,41.9242,47.5843,aghu1253,nakh1245,aghu1260,FALSE,agx,NA,NA,0,0,6,AZ RU
Akan,AKA,aka,akan1250,Akan,language,Africa,6.34756,-1.33254,akan1250,atla1278,akan1251,FALSE,aka,NA,NA,0,0,10,GH TG
"Aleut, Eastern",ALE,ale,aleu1260,Aleut,language,North America,52.1228,-174.29,aleu1260,eski1264,aleu1261,FALSE,ale,NA,NA,0,0,2,RU US
"Aleut, Western",ALE,ale,aleu1260,Aleut,language,North America,52.1228,-174.29,aleu1260,eski1264,aleu1261,FALSE,ale,NA,NA,0,0,2,RU US
Amharic,AMH,amh,amha1245,Amharic,language,Africa,11.708182,39.543456,amha1245,afro1255,amha1244,FALSE,amh,NA,NA,0,0,5,DJ ET
Angami,NJM,njm,anga1288,Angami Naga,language,Eurasia,25.6841,93.8668,anga1288,sino1245,anga1287,FALSE,njm,NA,NA,0,0,10,IN
