phone,class,voice
a,vowel,vcd
ă,vowel,vcd
ä,vowel,vcd
ã,vowel,vcd
ã,vowel,vcd
ā,vowel,vcd
a̜,vowel,vcd
a̠,vowel,vcd
a̘,vowel,vcd
a̝,vowel,vcd
a̙,vowel,vcd
ā̜,vowel,vcd
ạ,vowel,vcd
a̤,vowel,vcd
a̰,vowel,vcd
a̱,vowel,vcd
a˞,vowel,vcd
aː,vowel,vcd
ãː,vowel,vcd
a̜ː,vowel,vcd
ạː,vowel,vcd
aːʊ,vowel,vcd
aă,vowel,vcd
ăa,vowel,vcd
æ,vowel,vcd
æ̆,vowel,vcd
æ̈,vowel,vcd
æ̃,vowel,vcd
æ̟,vowel,vcd
æ̜,vowel,vcd
æː,vowel,vcd
æ̃ː,vowel,vcd
ææ̆,vowel,vcd
æ̆æ,vowel,vcd
æˤ̱,vowel,vcd
aʰ,vowel,vcd
a͡i,vowel,vcd
aɪ,vowel,vcd
ãⁿ,vowel,vcd
aʊ,vowel,vcd
aˤ̱,vowel,vcd
ɑ,vowel,vcd
ɑ̃,vowel,vcd
ɑ̞,vowel,vcd
ɑ̝,vowel,vcd
ɑ̤,vowel,vcd
ɑː,vowel,vcd
ɑ̃ː,vowel,vcd
ɑʊ,vowel,vcd
ɒ,vowel,vcd
ɒː,vowel,vcd
b,stop,vcd
b̥,stop,vcl
bː,stop,vcd
b͡d,stop,vcd
bʰ,stop,vcd
bʰː,stop,vcd
b̤ʱ,stop,vcd
bʲ,stop,vcd
bᵐ,stop,vcd
bʷ,stop,vcd
bˀ,stop,vcd
bˀː,stop,vcd
ɓ,stop,vcd
ɓ̥,stop,vcl
c,stop,vcl
ç,stop,vcl
cː,stop,vcl
çː,stop,vcl
cʰ,stop,vcl
cˢ,stop,vcl
ɕ,fric,vcl
ɕ',fric,vcl
ɕʰ,fric,vcl
ɕʷ,fric,vcl
ɕʼ,fric,vcl
d,stop,vcd
d̪,stop,vcd
d̠,stop,vcd
d̥,stop,vcl
d̴,stop,vcd
ð,fric,vcd
ð̥,fric,vcl
dː,stop,vcd
d̪ː,stop,vcd
d̴ː,stop,vcd
ðː,fric,vcd
dʰ,stop,vcd
d̪ʰ,stop,vcd
dʰː,stop,vcd
d̪ʰː,stop,vcd
d̪̤ʱ,stop,vcd
dʲ,stop,vcd
ðʲ,fric,vcd
d͡l,stop,vcd
dⁿ,stop,vcd
dʷ,stop,vcd
d͡z,stop,vcd
d͡zʲ,stop,vcd
d͡ʒ,stop,vcd
d͡ʒː,stop,vcd
d͡ʒʰ,stop,vcd
d͡ʒ̤ʱ,stop,vcd
d͡ʒʲ,stop,vcd
dˀ,stop,vcd
d̠ˤ,stop,vcd
ɖ,stop,vcd
ɖ̪,stop,vcd
ɖː,stop,vcd
ɖʰ,stop,vcd
ɖ̤ʱ,stop,vcd
ɗ,stop,vcd
ɗ̥,stop,vcl
e,vowel,vcd
ẽ,vowel,vcd
ẽ,vowel,vcd
ē,vowel,vcd
e̜,vowel,vcd
e̝,vowel,vcd
e̞,vowel,vcd
e̥,vowel,vcl
ḛ,vowel,vcd
e ͮ,vowel,vcd
e˞,vowel,vcd
e˞ː,vowel,vcd
eː,vowel,vcd
ẽː,vowel,vcd
ẹː,vowel,vcd
eĕ,vowel,vcd
ĕe,vowel,vcd
eɪ,vowel,vcd
ə,vowel,vcd
ə̆,vowel,vcd
ə̃,vowel,vcd
ə̯,vowel,vcd
ə̟,vowel,vcd
ə̙,vowel,vcd
ə̣,vowel,vcd
ə̥,vowel,vcl
ə ͬ,vowel,vcd
ə͡ɯ,vowel,vcd
ɛ,vowel,vcd
ɛ̈,vowel,vcd
ɛ̃,vowel,vcd
ɛ̄,vowel,vcd
ɛ̞,vowel,vcd
ɛ̠,vowel,vcd
ɛ̜,vowel,vcd
ɛ̝,vowel,vcd
ɛ̰,vowel,vcd
ɛ̰̃,vowel,vcd
ɛː,vowel,vcd
ɛ̃ː,vowel,vcd
ɛ̤ː,vowel,vcd
ɛʰ,vowel,vcd
ɛ̃ʰ,vowel,vcd
ɘ,vowel,vcd
ɚ,vowel,vcd
ɜ,vowel,vcd
ɜ̆,vowel,vcd
ɞ,vowel,vcd
ɤ,vowel,vcd
ɤ̈,vowel,vcd
ɤː,vowel,vcd
f,fric,vcl
fː,fric,vcl
fʲ,fric,vcl
g,stop,vcd
gː,stop,vcd
gʰ,stop,vcd
gʰː,stop,vcd
ɡ,stop,vcd
ɡ̃,stop,vcd
ɡ̥,stop,vcl
ɡː,stop,vcd
ɡ͡b,stop,vcd
ɡʰ,stop,vcd
ɡ̤ʱ,stop,vcd
ɡʲ,stop,vcd
ɡ͡m,stop,vcd
ɡʷ,stop,vcd
ɢ,stop,vcd
ɢʲ,stop,vcd
ɣ,fric,vcd
h,fric,vcl
h̃,fric,vcl
h̩,fric,vcl
ħ,fric,vcl
ḥ,fric,vcl
hː,fric,vcl
hʲ,fric,vcl
h̩͡ŋ,fric,vcl
ħʷ,fric,vcl
h͡w,fric,vcl
hˤ,fric,vcl
ʜ,fric,vcl
ɦ,fric,vcd
i,vowel,vcd
ĭ,vowel,vcd
ĭ,vowel,vcd
ĩ,vowel,vcd
ī,vowel,vcd
i̯,vowel,vcd
i̠,vowel,vcd
ị,vowel,vcd
i̥,vowel,vcd
ḭ,vowel,vcd
iː,vowel,vcd
ĩː,vowel,vcd
i̤ː,vowel,vcd
iʰ,vowel,vcd
iĭ,vowel,vcd
ĭi,vowel,vcd
ĭi,vowel,vcd
ɪ,vowel,vcd
ɪ̆,vowel,vcd
ɪ̃,vowel,vcd
ɪ̥,vowel,vcl
ɪ̰,vowel,vcd
ɪ̰̃,vowel,vcd
ɪ̱,vowel,vcd
ɪː,vowel,vcd
ɪ̃ː,vowel,vcd
ɨ,vowel,vcd
ɨ̜,vowel,vcd
ɨ̠,vowel,vcd
