lang	file	word	phone	prec	foll	int	pstart	pend	wstart	wend
abk	abk-002-000	ad͡ʒʃʲ	a		d͡ʒ	2	0.13	0.33	0.13	0.61
abk	abk-002-000	ad͡ʒʃʲ	d͡ʒ	a	ʃʲ	3	0.33	0.49	0.13	0.61
abk	abk-002-000	ad͡ʒʃʲ	ʃʲ	d͡ʒ		4	0.49	0.61	0.13	0.61
abk	abk-002-001	ad͡ʒmɜ	a		d͡ʒ	2	0.15	0.32	0.15	0.89
abk	abk-002-001	ad͡ʒmɜ	d͡ʒ	a	m	3	0.32	0.47	0.15	0.89
abk	abk-002-001	ad͡ʒmɜ	m	d͡ʒ	ɜ	4	0.47	0.61	0.15	0.89
abk	abk-002-001	ad͡ʒmɜ	ɜ	m		5	0.61	0.89	0.15	0.89
abk	abk-002-006	ad͡ʒɘmʃɘ	a		d͡ʒ	2	0.91	1.00	0.91	1.68
abk	abk-002-006	ad͡ʒɘmʃɘ	d͡ʒ	a	ɘ	3	1.00	1.11	0.91	1.68
abk	abk-002-006	ad͡ʒɘmʃɘ	ɘ	d͡ʒ	m	4	1.11	1.17	0.91	1.68
abk	abk-002-006	ad͡ʒɘmʃɘ	m	ɘ	ʃ	5	1.17	1.27	0.91	1.68
abk	abk-002-006	ad͡ʒɘmʃɘ	ʃ	m	ɘ	6	1.27	1.46	0.91	1.68
abk	abk-002-006	ad͡ʒɘmʃɘ	ɘ	ʃ		7	1.46	1.68	0.91	1.68
abk	abk-002-009	at͡ʃʰɜrä	a		t͡ʃʰ	2	0.12	0.24	0.12	0.82
abk	abk-002-009	at͡ʃʰɜrä	t͡ʃʰ	a	ɜ	3	0.24	0.41	0.12	0.82
abk	abk-002-009	at͡ʃʰɜrä	ɜ	t͡ʃʰ	r	4	0.41	0.52	0.12	0.82
abk	abk-002-009	at͡ʃʰɜrä	r	ɜ	ä	5	0.52	0.53	0.12	0.82
abk	abk-002-009	at͡ʃʰɜrä	ä	r		6	0.53	0.82	0.12	0.82
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	a		t͡ʃ	2	0.15	0.30	0.15	1.02
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	t͡ʃ	a	ə̆	3	0.30	0.47	0.15	1.02
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	ə̆	t͡ʃ	pʰ	4	0.47	0.53	0.15	1.02
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	pʰ	ə̆	ɜ̆	5	0.53	0.65	0.15	1.02
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	ɜ̆	pʰ	r	6	0.65	0.74	0.15	1.02
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	r	ɜ̆	ʌ̈	7	0.74	0.77	0.15	1.02
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	ʌ̈	r		8	0.77	1.02	0.15	1.02
abk	abk-002-011	att͡ʃʃʰɜrɜ	a		t	2	0.15	0.29	0.15	0.96
abk	abk-002-011	att͡ʃʃʰɜrɜ	t	a	t͡ʃ	3	0.29	0.40	0.15	0.96
abk	abk-002-011	att͡ʃʃʰɜrɜ	t͡ʃ	t	ʃʰ	4	0.40	0.48	0.15	0.96
abk	abk-002-011	att͡ʃʃʰɜrɜ	ʃʰ	t͡ʃ	ɜ	5	0.48	0.61	0.15	0.96
abk	abk-002-011	att͡ʃʃʰɜrɜ	ɜ	ʃʰ	r	6	0.61	0.71	0.15	0.96
abk	abk-002-011	att͡ʃʃʰɜrɜ	r	ɜ	ɜ	7	0.71	0.73	0.15	0.96
abk	abk-002-011	att͡ʃʃʰɜrɜ	ɜ	r		8	0.73	0.96	0.15	0.96
abk	abk-002-023	akʼaʒʲərɜ	a		kʼ	2	0.16	0.26	0.16	0.99
