lang	file	word	phone	prec	foll	int	f1_1	f1_2	f1_3	f1_4	f1_5	f1_6	f1_7	f1_8	f1_9	f1_10	f2_1	f2_2	f2_3	f2_4	f2_5	f2_6	f2_7	f2_8	f2_9	f2_10	f3_1	f3_2	f3_3	f3_4	f3_5	f3_6	f3_7	f3_8	f3_9	f3_10	pstart	pend	wstart	wend
abk	abk-002-000	ad͡ʒʃʲ	a		d͡ʒ	2	940.48	669.59	698.12	256.88	618.44	799.60	791.05	660.60	495.72	432.87	1492.69	1096.99	1090.26	1106.76	1165.59	1550.45	1935.22	2214.14	1497.56	1301.41	2986.27	2915.85	2964.79	2703.79	2871.40	2534.73	3069.17	3455.66	2428.38	2307.71	0.13	0.33	0.13	0.61
abk	abk-002-001	ad͡ʒmɜ	a		d͡ʒ	2	646.95	1057.92	1096.70	1052.85	757.96	716.21	765.18	665.06	543.16	461.13	1116.20	2861.48	2801.53	2698.87	1397.89	1565.51	2059.78	1617.44	1643.81	1538.44	2812.21	3236.95	3186.31	3076.48	2895.95	2623.28	3425.55	2323.27	2472.19	2240.69	0.15	0.32	0.15	0.89
abk	abk-002-006	ad͡ʒɘmʃɘ	a		d͡ʒ	2	590.25	843.56	828.24	771.36	740.51	690.34	576.42	523.16	478.07	442.52	896.08	1081.81	2067.37	2114.05	2110.22	2131.85	1475.74	1542.70	1634.10	1330.46	2726.19	2681.49	3181.59	3287.14	3385.82	3490.08	2273.48	2676.59	3050.80	2905.33	0.91	1.00	0.91	1.68
abk	abk-002-009	at͡ʃʰɜrä	a		t͡ʃʰ	2	291.42	1071.25	977.43	897.48	893.49	854.79	764.02	524.52	537.46	435.72	2047.28	2523.79	2534.83	2472.40	2359.17	2444.09	2524.61	943.16	2003.03	2371.21	2967.59	2967.92	3076.45	3038.87	2973.22	3010.14	3021.08	2731.37	3298.33	2928.56	0.12	0.24	0.12	0.82
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	a		t͡ʃ	2	725.07	712.57	844.98	908.72	829.83	1106.14	985.74	587.33	465.69	417.79	2218.53	2018.89	2003.07	2103.02	2086.48	2206.33	2133.62	2175.75	1963.77	1366.57	3059.13	2885.72	2264.52	3117.12	3102.27	3128.27	3074.16	3078.37	2467.24	2526.34	0.15	0.30	0.15	1.02
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	ʌ̈	r		8	596.24	436.86	606.78	554.71	369.33	586.90	404.74	413.61	534.41	502.60	1954.36	722.79	717.58	2008.84	1013.91	2138.60	2079.69	1958.46	1983.33	1933.84	2864.60	2156.81	2109.10	3552.94	2116.60	3176.92	2971.52	3248.95	3444.74	3525.44	0.77	1.02	0.15	1.02
abk	abk-002-011	att͡ʃʃʰɜrɜ	a		t	2	601.56	1158.74	1074.39	838.47	1175.69	579.05	517.14	590.97	516.87	412.93	1266.70	2792.24	2495.36	1649.25	2597.26	1368.41	1463.59	1368.26	1503.52	1501.21	2748.79	3265.04	3257.81	2794.36	2935.73	2679.28	2615.14	2680.73	2572.13	2606.53	0.15	0.29	0.15	0.96
abk	abk-002-023	akʼaʒʲərɜ	a		kʼ	2	606.56	645.55	638.88	634.56	580.03	549.26	540.58	543.28	485.60	434.27	1429.41	1448.76	1454.33	1512.30	1577.77	1682.76	1733.86	1769.20	1519.76	1681.13	2800.93	2774.12	2760.32	2815.62	2887.64	2718.80	2675.79	2816.06	2694.06	2346.20	0.16	0.26	0.16	0.99
abk	abk-002-023	akʼaʒʲərɜ	a	kʼ	ʒʲ	4	684.33	669.77	623.18	595.26	591.77	589.50	547.93	461.68	444.34	407.30	1799.31	1940.88	1923.27	1937.49	1607.68	1498.27	1751.00	1379.05	1409.70	2188.42	2516.24	2903.14	2854.37	3007.96	2326.53	2318.63	2714.28	2557.33	2502.42	3345.68	0.38	0.56	0.16	0.99
abk	abk-002-024	ăbʒʲɨ	ɨ	ʒʲ		5	490.54	482.48	502.67	469.02	463.68	414.49	418.38	341.75	291.52	336.44	1414.23	1203.31	2224.97	2109.95	2172.02	2093.22	2264.33	2358.39	2339.32	2373.15	2864.08	2521.89	3024.12	3017.88	3003.30	2407.35	3226.45	3368.29	3221.69	3340.86	0.48	0.62	0.16	0.62
abk	abk-002-026	aʃæ̈	a		ʃ	2	1045.32	962.00	925.85	880.82	666.46	509.68	497.62	497.50	663.47	603.58	1970.43	1799.01	1966.48	2066.58	1682.84	1747.92	1865.75	2572.17	2589.43	2638.23	3014.83	3017.73	2998.33	2969.60	2822.44	2627.16	2954.97	3202.83	3268.40	3378.01	0.18	0.28	0.18	0.72
abk	abk-002-026	aʃæ̈	æ̈	ʃ		4	610.05	636.10	748.08	799.18	680.19	484.13	450.80	415.74	333.09	533.57	2227.21	1223.56	1800.92	1724.11	1961.53	1812.66	1944.53	1629.14	1688.87	1991.09	3120.91	2417.36	2531.80	2427.93	2845.56	2242.64	2915.72	2035.40	2334.87	2868.28	0.46	0.72	0.18	0.72
abk	abk-002-027	ajəʃʲɛ̈	a		j	2	1101.44	1104.59	1071.82	1095.39	1114.95	1078.62	1048.06	1041.23	427.03	745.26	2519.72	2462.40	2443.22	2580.09	2613.90	2574.86	2496.61	2496.09	983.02	1323.74	3071.84	3065.25	3090.47	3108.65	3140.39	3147.75	3157.79	3180.07	2637.44	2608.09	0.16	0.26	0.16	0.87
abk	abk-002-027	ajəʃʲɛ̈	ɛ̈	ʃʲ		6	532.45	539.13	584.87	509.05	518.33	402.16	333.23	308.06	340.89	484.32	1560.69	2043.51	783.39	2069.25	2022.48	2155.17	2086.92	1949.57	1980.93	2007.27	2848.24	3137.77	2148.08	3335.01	3393.01	3432.82	2659.50	3279.35	2820.36	2642.73	0.64	0.87	0.16	0.87
abk	abk-002-028	aʃæ̈	a		ʃ	2	582.75	694.42	663.62	733.55	666.17	904.36	808.22	712.96	631.73	519.94	1087.29	1074.88	1427.03	1932.63	1903.44	2520.07	2446.92	2404.52	2344.48	2472.31	2463.01	2476.50	2714.74	2801.80	2770.90	2852.44	2781.45	2935.25	3214.47	3130.47	0.31	0.38	0.31	0.90
abk	abk-002-028	aʃæ̈	æ̈	ʃ		4	608.62	670.68	664.48	554.60	551.82	557.46	418.46	345.04	354.30	463.14	1981.71	2013.26	1224.03	1641.03	1710.25	2004.91	2016.42	1854.62	1716.66	1852.70	3233.06	3217.48	2527.47	2686.45	2889.14	2885.35	2750.52	2120.53	2264.71	3167.20	0.63	0.90	0.31	0.90
abk	abk-002-030	aʃɘpɘ	a		ʃ	2	659.87	720.40	545.83	748.30	871.89	720.59	628.80	583.72	511.59	442.16	1322.60	1184.05	1170.81	1115.19	944.15	1397.10	1922.43	2107.69	1693.63	1270.97	2774.80	2765.43	2758.26	2869.44	2819.67	2770.03	2957.73	3095.37	2602.57	2643.51	0.60	0.68	0.60	1.28
abk	abk-002-032	ad͡ʒɘr	a		d͡ʒ	2	718.22	739.60	754.23	838.84	812.37	799.10	785.58	719.45	633.78	573.48	1368.68	1352.92	1313.35	1198.88	1620.22	1974.25	1725.14	1805.41	1997.94	2026.99	2423.35	2414.11	2413.68	2417.08	2526.72	2936.34	2569.95	2172.18	2647.46	3109.61	0.16	0.25	0.16	0.75
abk	abk-002-033	ad͡ʒɘʃ	a		d͡ʒ	2	756.71	746.64	767.00	777.95	763.90	767.76	717.65	620.55	541.21	430.77	1239.88	1336.14	1362.10	1497.59	1520.89	1942.65	1421.18	1551.39	1924.30	2056.36	2553.44	2522.78	2517.84	2550.53	2548.58	3013.02	2058.04	2295.05	3007.44	2182.51	0.16	0.27	0.16	0.83
