lang	file	word	phone	prec	foll	int	f1_1	f1_2	f1_3	f1_4	f2_1	f2_2	f2_3	f2_4	f3_1	f3_2	f3_3	f3_4	pstart	pend	wstart	wend
abk	abk-002-000	ad͡ʒʃʲ	a		d͡ʒ	2	694.83	618.44	783.23	432.87	1102.43	1165.59	2077.33	1301.41	2974.10	2871.40	3329.58	2307.71	0.13	0.33	0.13	0.61
abk	abk-002-001	ad͡ʒmɜ	a		d͡ʒ	2	1061.82	757.96	732.01	461.13	2767.74	1397.89	1980.90	1538.44	3260.56	2895.95	3207.64	2240.69	0.15	0.32	0.15	0.89
abk	abk-002-006	ad͡ʒɘmʃɘ	a		d͡ʒ	2	844.94	742.90	531.91	400.62	1642.41	2101.11	1397.88	1115.86	2916.19	3375.08	2327.32	2525.98	0.91	1.00	0.91	1.68
abk	abk-002-009	at͡ʃʰɜrä	a		t͡ʃʰ	2	1075.16	893.49	735.21	435.72	2530.70	2359.17	2570.70	2371.21	3037.71	2973.22	3149.39	2928.56	0.12	0.24	0.12	0.82
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	a		t͡ʃ	2	740.73	829.83	843.19	417.79	1941.07	2086.48	2161.98	1366.57	2926.14	3102.27	3075.19	2526.34	0.15	0.30	0.15	1.02
abk	abk-002-010	at͡ʃə̆pʰɜ̆rʌ̈	ʌ̈	r		8	528.39	369.33	326.13	502.60	732.98	1013.91	1403.90	1933.84	2172.00	2116.60	2222.78	3525.44	0.77	1.02	0.15	1.02
abk	abk-002-011	att͡ʃʃʰɜrɜ	a		t	2	1153.58	1175.69	528.82	412.93	2752.49	2597.26	1476.28	1501.21	3301.58	2935.73	2639.76	2606.53	0.15	0.29	0.15	0.96
abk	abk-002-023	akʼaʒʲərɜ	a		kʼ	2	658.42	580.03	539.66	434.27	1442.14	1577.77	1777.46	1681.13	2767.82	2887.64	2780.50	2346.20	0.16	0.26	0.16	0.99
abk	abk-002-023	akʼaʒʲərɜ	a	kʼ	ʒʲ	4	667.90	591.77	492.09	407.30	1918.81	1607.68	1474.70	2188.42	2856.59	2326.53	2493.85	3345.68	0.38	0.56	0.16	0.99
abk	abk-002-024	ăbʒʲɨ	ɨ	ʒʲ		5	483.55	463.68	373.52	336.44	1129.29	2172.02	2250.10	2373.15	2433.53	3003.30	3310.66	3340.86	0.48	0.62	0.16	0.62
abk	abk-002-026	aʃæ̈	a		ʃ	2	911.58	666.46	489.94	603.58	1849.71	1682.84	1648.05	2638.23	3006.22	2822.44	2774.98	3378.01	0.18	0.28	0.18	0.72
abk	abk-002-026	aʃæ̈	æ̈	ʃ		4	696.65	680.19	429.96	533.57	1565.79	1961.53	1959.86	1991.09	2511.41	2845.56	3209.22	2868.28	0.46	0.72	0.18	0.72
abk	abk-002-027	ajəʃʲɛ̈	a		j	2	1078.67	1114.95	1048.55	745.26	2426.77	2613.90	2490.65	1323.74	3061.41	3140.39	3169.19	2608.09	0.16	0.26	0.16	0.87
abk	abk-002-027	ajəʃʲɛ̈	ɛ̈	ʃʲ		6	606.39	518.33	302.88	484.32	2119.31	2022.48	1967.16	2007.27	3249.41	3393.01	3177.12	2642.73	0.64	0.87	0.16	0.87
abk	abk-002-028	aʃæ̈	a		ʃ	2	611.53	666.17	758.73	519.94	1077.58	1903.44	2427.35	2472.31	2579.78	2770.90	2842.73	3130.47	0.31	0.38	0.31	0.90
abk	abk-002-028	aʃæ̈	æ̈	ʃ		4	620.19	551.82	338.70	463.14	1294.76	1710.25	1828.91	1852.70	2371.92	2889.14	2211.40	3167.20	0.63	0.90	0.31	0.90
abk	abk-002-030	aʃɘpɘ	a		ʃ	2	561.20	698.13	622.16	532.56	1192.51	1156.16	2043.39	2233.05	2686.80	2718.38	3053.36	2858.54	0.60	0.68	0.60	1.28
abk	abk-002-032	ad͡ʒɘr	a		d͡ʒ	2	739.20	812.37	759.62	573.48	1336.77	1620.22	1686.26	2026.99	2410.40	2526.72	2265.88	3109.61	0.16	0.25	0.16	0.75
abk	abk-002-033	ad͡ʒɘʃ	a		d͡ʒ	2	762.76	763.90	670.71	430.77	1367.99	1520.89	1532.50	2056.36	2517.38	2548.58	2126.40	2182.51	0.16	0.27	0.16	0.83
abk	abk-002-034	ad͡ʒ	a		d͡ʒ	2	677.81	716.10	707.88	473.22	1876.66	1926.38	2028.79	1323.69	2674.87	2214.50	2384.37	2084.18	0.15	0.34	0.15	0.59
abk	abk-002-035	at͡ʃədæ̈	a		t͡ʃ	2	711.46	658.35	595.77	482.54	1518.83	1528.61	1780.60	1899.09	2990.80	2888.77	2211.34	2218.97	0.17	0.24	0.17	0.83
abk	abk-002-035	at͡ʃədæ̈	æ̈	d		6	702.92	560.08	338.95	365.01	1839.93	1311.76	1946.09	2040.13	2444.84	1967.43	2936.91	2956.46	0.55	0.83	0.17	0.83
abk	abk-002-036	at͡ʃʰnɘ	a		t͡ʃʰ	2	762.51	789.79	674.04	509.58	1566.89	1786.38	1887.28	2091.91	2933.73	3024.35	2912.37	2686.15	0.15	0.21	0.15	0.79
abk	abk-002-037	at͡ʃʰɘɥrɜ	a		t͡ʃʰ	2	772.52	803.69	690.93	565.99	1522.60	1721.51	1850.95	1933.60	2813.18	2955.48	2825.53	2640.25	0.17	0.23	0.17	0.83
abk	abk-002-039	at͡ʃʰbɘɡə	a		tʃ	2	751.47	723.24	652.50	525.53	1638.70	1687.98	1849.05	1958.91	2855.30	2779.49	1929.17	2257.81	0.17	0.23	0.17	0.91
abk	abk-002-040	apt͡ʃra	a		p	2	843.51	680.65	695.02	696.49	1629.93	1594.85	1584.07	1659.93	2802.43	2815.34	2778.55	2685.41	0.22	0.26	0.22	0.70
abk	abk-002-040	apt͡ʃra	a	r		6	669.38	716.65	471.83	458.91	1934.49	1896.48	1052.11	1849.17	3165.29	2497.86	2172.47	3132.31	0.51	0.70	0.22	0.70
abk	abk-002-041	at͡ʃʼɘ	a		t͡ʃʼ	2	719.78	711.60	653.81	488.84	1525.29	1627.39	1871.88	1945.44	2941.91	2969.72	3043.41	2520.85	0.16	0.26	0.16	0.65
abk	abk-002-042	at͡ʃʼɘχɘrɜ	a		t͡ʃʼ	2	794.97	806.78	597.03	407.71	1630.27	1888.94	2031.39	2054.25	2932.06	2981.52	3009.92	2615.95	0.15	0.23	0.15	0.82
abk	abk-002-043	amt͡ʃʼɘ	a		m	2	744.86	710.91	732.99	622.79	1614.13	1640.94	1697.61	1648.03	3058.66	3023.60	3206.97	2673.03	0.15	0.22	0.15	0.74
abk	abk-002-044	at͡ʃʼa	a		t͡ʃʼ	2	676.42	780.76	567.99	307.48	1633.92	1970.06	2090.99	1833.23	2911.15	2937.69	3121.43	2285.77	0.15	0.26	0.15	0.55
abk	abk-002-044	at͡ʃʼa	a	t͡ʃʼ		4	689.19	521.29	274.03	588.55	1911.36	1796.01	1857.55	1807.52	2618.34	2399.08	2089.93	2506.63	0.38	0.55	0.15	0.55
abk	abk-002-045	ˀaʒəħʷərə	ˀa		ʒ	2	620.16	1133.55	973.76	401.33	1167.31	2379.79	2138.80	1533.92	2483.63	3284.10	3371.76	3171.90	0.37	0.54	0.37	1.23
abk	abk-002-047	äʒəħœ̈ɾə	œ̈	ħ	ɾ	6	567.99	622.46	640.49	536.74	1228.54	1117.20	1037.24	2090.28	2186.96	2187.77	2151.08	2866.74	0.62	0.74	0.17	0.94
abk	abk-002-049	ˀaʒə	ˀa		ʒ	2	702.42	545.96	403.81	511.87	1191.01	1169.67	1179.47	1482.48	2601.94	2503.63	2581.31	2583.20	0.28	0.44	0.28	0.83
abk	abk-002-050	abʒə	a		b	2	563.57	1198.99	1086.60	397.13	1226.78	2189.73	2418.45	1355.11	2548.42	3186.84	3254.42	2526.18	0.16	0.31	0.16	0.79
