file	meanf0
abk-002-000	199.78
abk-002-001	185.36
abk-002-006	187.41
abk-002-009	175.25
abk-002-010	225.74
abk-002-011	197.48
abk-002-023	202.93
abk-002-024	206.84
abk-002-026	219.47
abk-002-027	228.895
abk-002-028	212.095
abk-002-030	195.74
abk-002-032	202.1
abk-002-033	200.39
abk-002-034	209.56
abk-002-035	208.11
abk-002-036	178.62
abk-002-037	183.49
abk-002-039	190.07
abk-002-040	184.765
abk-002-041	199.43
abk-002-042	198.09
abk-002-043	203.66
abk-002-044	196.78
abk-002-045	224.94
abk-002-047	157.41
abk-002-049	213.9
abk-002-050	203.29
abk-002-051	195.65
abk-002-052	204.14
abk-002-053	184.28
abk-002-070	209.62
abk-002-071	206.52
abk-002-072	246.38
abk-002-073	211.75
abk-002-074	200.296666666667
abk-002-077	280.09
abk-002-078	232.785
abk-002-079	226.7
abk-002-080	243.16
abk-002-083	234.92
abk-002-084	249.035
abk-002-085	216.3
abk-002-090	207.55
abk-002-097	200.78
abk-002-098	191.18
abk-002-101	217.335
abk-002-102	262.39
abk-002-103	206.66
abk-002-105	200.095
abk-002-106	232.32
ace-000-000	155.045
ace-000-001	161.53
ace-000-002	159.96
ace-000-003	163.23
ace-000-004	142.1
ace-000-007	158.79
ace-000-008	155.58
ace-000-009	150.27
ace-000-010	156.965
ace-000-011	150.045
ace-000-012	151.68
ace-000-013	155.223333333333
ace-000-014	148.5
ace-000-025	155.46
ace-000-026	155.56
ace-000-027	153.68
ace-000-028	149.356666666667
ace-000-030	77.505
ace-000-031	148.616666666667
ace-000-032	145.21
ace-000-033	155.68
ace-000-034	160.395
ace-000-035	167.55
ace-000-036	171.72
ace-000-038	160.395
ace-000-039	158.47
ace-000-041	159.16
ace-000-043	166.29
ace-000-044	160.42
ace-000-045	146.51
ace-000-050	162.1
ace-000-052	153.185
ace-000-053	154.17
ace-000-061	160.63
ady-000-001	189.405
ady-000-002	191.405
ady-000-003	193.01
ady-000-007	194.23
ady-000-008	192.54
ady-000-011	173.23
ady-000-013	189.99
ady-000-017	202.18
ady-000-018	187.92
ady-000-020	121.26
ady-000-021	204.56
ady-000-022	163.876666666667
ady-000-024	226.7
ady-000-025	220.285
ady-000-026	228.28
ady-000-031	169.22
ady-000-032	203.2
ady-000-033	169.46
ady-000-035	198.966666666667
ady-000-037	203.935
ady-000-039	206.43
ady-000-041	NA
ady-000-042	202.93
ady-000-046	209.47
ady-000-047	202.305
ady-000-048	194.886666666667
ady-000-049	188.43
ady-000-050	183.605
ady-000-051	192.9
ady-000-052	184.43
ady-000-054	213.94
ady-000-055	202.81
ady-000-056	176.73
ady-000-057	190.945
ady-000-058	182.63
ady-000-061	237.886666666667
ady-000-062	196.34
ady-000-063	210.11
ady-000-064	182.036666666667
ady-000-066	224.415
ady-000-068	194.245
ady-000-069	201.92
ady-000-070	212.275
ady-000-071	159.37
ady-000-073	265.74
ady-000-074	224.735
ady-000-076	160.095
ady-000-086	209.275
ady-000-087	228.57
ady-000-088	204.195
ady-000-089	199.305
ady-000-090	205.16
ady-000-091	186.67
ady-000-092	206.12
ady-000-093	179.22
ady-000-094	222.34
ady-000-095	197.01
ady-000-096	177.835
ady-000-097	88.015
ady-000-098	228.8
ady-000-099	232.715
ady-000-100	232.94
ady-000-101	220.71
ady-000-102	191.47
ady-000-103	259.76
ady-000-105	187.81
ady-000-106	200.51
ady-000-107	187.005
ady-000-111	210.9
ady-000-112	200.49
ady-000-113	246.11
ady-000-114	203.95
ady-000-115	216.62
ady-000-118	177.84
ady-000-119	203.52
ady-000-121	196.34
ady-000-122	186.68
ady-000-123	222.163333333333
ady-000-125	247.18
ady-000-126	243.93
ady-000-128	239.92
ady-000-129	205.65
ady-000-130	214.82
ady-000-133	193.97
ady-000-134	189.43
ady-000-135	186.89
ady-000-136	198.34
ady-000-137	266.97
ady-000-139	196.463333333333
ady-000-141	216.175
ady-000-142	193.42
ady-000-143	187.6
ady-000-144	214.62
ady-000-146	271.99
ady-000-147	215.56
ady-000-148	207.05
ady-000-149	188.44
aeb-000-000	113.365
aeb-000-001	116.04
aeb-000-002	122.28
aeb-000-003	111.855
aeb-000-006	113.165
aeb-000-007	111.165
aeb-000-009	118.09
aeb-000-011	109.48
aeb-000-015	111.52
aeb-000-023	123.46
aeb-000-024	122.635
aeb-000-025	105.32
aeb-000-026	97.62
aeb-000-029	120.27
aeb-000-030	113.625
aeb-000-031	114.485
aeb-000-032	127.1
aeb-000-033	117.22
aeb-000-034	117.295
aeb-000-035	113.87
aeb-000-039	114.34
aeb-000-040	106.14
aeb-000-041	116.42
aeb-000-042	120.425
aeb-000-043	NA
aeb-000-046	118.48
aeb-000-047	120.09
aeb-000-048	117.69
aeb-000-049	129.1
aeb-000-050	127.76
aeb-000-051	123.38
aeb-000-053	118.86
aeb-000-054	125.22
aeb-000-055	127.555
aeb-000-059	136.37
aeb-000-060	125.276666666667
aeb-000-061	122.515
aeb-000-062	120.233333333333
