lang	file	raw	intermediate1	intermediate2	updated
abk	abk-002-000	aˑdʒʃʲ	a d͡ʒ ʃʲ	ad͡ʒʃʲ	ad͡ʒʃʲ
abk	abk-002-001	ˈaˑdʒmɜ	a d͡ʒ m ɜ	ad͡ʒmɜ	ad͡ʒmɜ
abk	abk-002-006	adʒɘmʃɘ́	a d͡ʒ ɘ m ʃ ɘ	ad͡ʒɘmʃɘ	ad͡ʒɘmʃɘ
abk	abk-002-009	atʃʰɜrä́ˆˑ	a t͡ʃʰ ɜ r ä	at͡ʃʰɜrä	at͡ʃʰɜrä
abk	abk-002-010	átʃə̆pʰɜ̆rʌ̈	a t͡ʃ ə̆ pʰ ɜ̆ r ʌ̈	at͡ʃə̆pʰɜ̆rʌ̈	at͡ʃə̆pʰɜ̆rʌ̈
abk	abk-002-011	áttʃʃʰɜrɜ	a t t͡ʃ ʃʰ ɜ r ɜ	att͡ʃʃʰɜrɜ	att͡ʃʃʰɜrɜ
abk	abk-002-023	akʼáʒʲərɜ	a kʼ a ʒʲ ə r ɜ	akʼaʒʲərɜ	akʼaʒʲərɜ
abk	abk-002-024	ăbᵊʒʲɨ́	ă b ʒʲ ɨ	ăbʒʲɨ	ăbʒʲɨ
abk	abk-002-026	aˈʃæ̈́	a ʃ æ̈	aʃæ̈	aʃæ̈
abk	abk-002-027	ájəʃʲɛ̈ˇ	a j ə ʃʲ ɛ̈	ajəʃʲɛ̈	ajəʃʲɛ̈
abk	abk-002-028	ˆaʃæ̈	a ʃ æ̈	aʃæ̈	aʃæ̈
abk	abk-002-030	aˆʃɘpɘ́	a ʃ ɘ p ɘ	aʃɘpɘ	aʃɘpɘ
abk	abk-002-032	adʒɘ́r	a d͡ʒ ɘ r	ad͡ʒɘr	ad͡ʒɘr
abk	abk-002-033	adʒɘ́ʃ	a d͡ʒ ɘ ʃ	ad͡ʒɘʃ	ad͡ʒɘʃ
abk	abk-002-034	adʒ	a d͡ʒ	ad͡ʒ	ad͡ʒ
abk	abk-002-035	atʃədæ̈́ˇ	a t͡ʃ ə d æ̈	at͡ʃədæ̈	at͡ʃədæ̈
abk	abk-002-036	atʃʰnɘ́	a t͡ʃʰ n ɘ	at͡ʃʰnɘ	at͡ʃʰnɘ
abk	abk-002-037	atʃʰɘ́ɥrɜ	a t͡ʃʰ ɘ ɥ r ɜ	at͡ʃʰɘɥrɜ	at͡ʃʰɘɥrɜ
abk	abk-002-038	dɜtʃä́	d ɜ t͡ʃ ä	dɜt͡ʃä	dɜt͡ʃä
abk	abk-002-039	atʃʰbɘ́ɡə	a t͡ʃʰ b ɘ ɡ ə	at͡ʃʰbɘɡə	at͡ʃʰbɘɡə
abk	abk-002-040	aptʃráˑ	a p t͡ʃ r a	apt͡ʃra	apt͡ʃra
abk	abk-002-041	atʃʼɘ́	a t͡ʃʼ ɘ	at͡ʃʼɘ	at͡ʃʼɘ
abk	abk-002-042	atʃʼɘ́χrɜ	a t͡ʃʼ ɘ χ r ɜ	at͡ʃʼɘχrɜ	at͡ʃʼɘχɘrɜ
abk	abk-002-043	amᵊtʃʼɘ́	a m t͡ʃʼ ɘ	amt͡ʃʼɘ	amt͡ʃʼɘ
abk	abk-002-044	atʃʼá	a t͡ʃʼ a	at͡ʃʼa	at͡ʃʼa
abk	abk-002-045	ˈˀäʒəħʷərə	ˀa ʒ ə ħʷ ə r ə	ˀaʒəħʷərə	ˀaʒəħʷərə
abk	abk-002-046	äʒᵊɹə	ä ʒ ɹ ə	äʒɹə	äʒɹə
abk	abk-002-047	äʒəħœ̈ɾə	ä ʒ ə ħ œ̈ ɾ ə	äʒəħœ̈ɾə	äʒəħœ̈ɾə
abk	abk-002-049	ˈˀáʒə	ˀa ʒ ə	ˀaʒə	ˀaʒə
abk	abk-002-050	ˈabᵊʒə	a b ʒ ə	abʒə	abʒə
abk	abk-002-051	aʃəɾɜ	a ʃ ə ɾ ɜ	aʃəɾɜ	aʃəɾɜ
abk	abk-002-052	áˑʃə	a ʃ ə	aʃə	aʃə
abk	abk-002-053	adʒɘ́ʃ	a d͡ʒ ɘ ʃ	ad͡ʒɘʃ	ad͡ʒɘʃ
abk	abk-002-067	ˈäʁdərɜ	ä ʁ d ə r ɜ	äʁdərɜ	äʁdərɜ
abk	abk-002-070	ˀaχɤ̈́	ˀa χ ɤ̈	ˀaχɤ̈	ˀaχɤ̈
abk	abk-002-071	χpʰæ̈	χ pʰ æ̈	χpʰæ̈	χpʰæ̈
abk	abk-002-072	ˈäχᵊrɛ̈	ä χ r ɛ̈	äχrɛ̈	äχrɛ̈
